tagname,body
"iptables","Iptables is a user space application program that allows a system administrator to configure the packet processing tables provided by the Linux kernel firewall."
"amd","The Asynchronous Module Definition (AMD) API specifies a mechanism for defining modules such that the module and its dependencies can be asynchronously loaded. The AMD pattern is well suited for the browser environment where synchronous loading can be problematic."
"spree","Spree is the open-source e-commerce platform freely available for commercial use under the terms of the New BSD License."
"nutch","Nutch is open source web-search software. It builds on Lucene and Solr, adding web-specifics, such as a crawler, a link-graph database, parsers for HTML and other document formats, etc.
"
"popover","A popover is a GUI element visually similar to a popup, except a popover is part of the page from which it is drawn, even though it might obscure part of it."
"macports","MacPorts is a package manager for Mac OS X. It is modeled after BSD Ports.
macports.org
"
"nonblocking","Use of concurrency without the usual mutual exclusion primitives, guaranteeing that thread operations will not block indefinitely.  This is usually handled with atomic value modification (increment/decrement) and/or reading (compare-and-exchange) operations."
"ruby-on-rails-plugins","A Rails plugin is either an extension or a modification of the core framework. "
"runnable","The Runnable interface defines a single method, run, meant to contain the code executed in the thread."
"multi-select","Multiselect is a user interface feature that allows the user to select more than one item in an items control. An items control can be anything that holds selectable items such as a dropdown list, data grid, or a custom listing or group of items."
"dynamic-sql","Dynamic SQL is a technique using SQL (Structured Query Language) whose main difference from traditional SQL is that Dynamic SQL allows to build SQL statements dynamically at runtime, which eases the automatic generation and execution of program statements."
"hashset","A HashSet encapsulates operations that allow for the comparison of elements in collections.  HashSets are frequently used to determine overlapping and unique elements within a collection."
"azure-web-roles","A Windows Azure Web Role is a Windows Server Compatible Virtual Machine (VM) with IIS enabled, along with scaffolding code that provides a launch point for your own code to run within the VM."
"parallax","An effect that causes the position or direction of an object to appear to change when viewed from different positions, e.g., through the viewfinder and the lens of a camera"
"vps","VPS stands for Virtual Private Server and usually refers to a single instance of a virtual machine leased for private running on a shared physical machine."
"dropbox-api","Application Programming Interface for Dropbox, a file sharing service."
"tortoisehg","TortoiseHg is a Windows shell extension and a series of cross-platform applications for the Mercurial distributed revision control system."
"webrtc","WebRTC is an API definition being drafted by the World Wide Web Consortium to enable applications for voice calling, video chat, and P2P file sharing primarily for browser communication without plugins, although it has expanded to mobile/desktop as well."
"jquery-select2","Select2 is a jQuery-based replacement for select boxes. It supports searching, remote data sets, and infinite scrolling of results."
"amqp","AMQP is an open messaging standard. It defines a wire-level protocol and semantic framework for high performance enterprise messaging."
"py2exe","Py2exe is a python extension that converts Python Scripts to Windows Executables."
"knockout-2.0","Knockout is an implementation of the Model-View-View Model (MVVM) UI pattern.
knockout-2.0 is an advanced version of Knockout"
"legend","A graph legend is usually used when plotting several data series on the same plot to associate each curve with the name of the data series depicted by the corresponding curve."
"icefaces","ICEfaces is a JSF component library. It offers an Ajax framework for developing and deploying rich enterprise applications."
"tk","The Tk toolkit is a scripted GUI toolkit that is designed to be used from dynamic languages (initially Tcl, but also Perl and Python)."
"break","A break statement is a flow-control feature provided by most programming languages that allows for an early exit from a loop; once a break statement is reached, its enclosing loop is immediately exited."
"sudo","The sudo command is an abbreviation for ""substitute user do"" (as in, do a command as if started by another user). Sudo is a program for Unix and Unix-like computer operating systems that allows a user to run programs with the security privileges of another user (normally the superuser, or root). "
"member","A member is an element of an object in the object-oriented programming paradigm."
"graphics2d","Graphics2D is the part of the Java 2D API related to two-dimensional graphics, text, and imaging capabilities. Unlike the older Graphics class, Graphics2D supports coordinate transforms. It also gives better control over geometry, colors and text layout."
"numeric","This tag is for questions concerning problems using numbers which either cannot be exactly solved, or where the exact solution may be much more difficult to acquire than by using numerical methods."
"mediaelement.js","MediaElement.js is an HTML5 video and audio player with Flash fallback and captions. Supports IE, Firefox, Opera, Safari, Chrome."
"emgucv","Emgu CV is a cross-platform .NET wrapper to the OpenCV image processing library. Allowing OpenCV functions to be called from .NET compatible languages such as C#, VB, VC++, IronPython etc. The wrapper can be compiled in Mono and run on Linux or Mac OS X."
"resque","Resque (pronounced like ""rescue"") is a Redis-backed library for creating background jobs, placing those jobs on multiple queues, and processing them later."
"remote-desktop","Remote Desktop Protocol (RDP) is a proprietary protocol developed by Microsoft, which provides a user with a graphical interface to another computer."
"visual-studio-lightswitch","Microsoft Visual Studio LightSwitch is a rapid application development tool for creating data centric Silverlight or HTML5 applications.
"
"cocoa-bindings","Cocoa bindings is Apple’s implementation of the Model-View-Controller design pattern for Mac OS X applications. It provides technologies that automate the synchronisation of domain data and the user interface elements that present them."
"sqldatasource","The SqlDataSource control enables you to use a Web control to access data located in a relational database, including Microsoft SQL Server and Oracle databases. The SqlDataSource control uses ADO.NET classes to interact with any database supported by ADO.NET. You can use the SqlDataSource control with other controls that display data, such as the GridView, FormView and DetailsView controls to display and manipulate data using little or no code. "
"bean-validation","Bean Validation, also known as JSR-303 / JSR-349, is an annotation based validation framework for javabean properties. Hibernate Validator is the reference implementation and the most widely used one."
"jsf-1.2","JSF 1.2 is the latest release of the JSF 1.x specification and it works with Servlet 2.5 and JSP 2.1."
"semantic-web","Representation of database record identifiers, columns and values as triples of URIs, thus enabling machines to share, merge and evaluate data from heterogeneous origins automatically."
"uiactionsheet","The UIActionSheet class of the Apple iOS can be used to present to user a modal view with a descriptive text and some buttons the user can choose from. An action sheet displays a set of choices related to a task the user initiates."
"system-calls","A system call is used by programs to request services from the operating system's kernel."
"readline","A library for command line editing, or a function to read one line of text."
"host","A general-purpose computer system interconnected to some communications network, or communications networks for the purpose of achieving resource sharing amongst the participating systems is called Host."
"rpm","RPM Package Manager (RPM) is a powerful and mature command-line driven package management system capable of installing, uninstalling, verifying, querying, and updating Unix software packages. Each software package consists of an archive of files along with information about the package like its version, a description, and the like."
"addressbook","An address book or a name and address book (NAB) is a book or a database used for storing entries called contacts."
"ssis-data-transformations","Microsoft SQL Server Integration Services (SSIS) Data Flow Transformations are a part of the SSIS ETL tool that enable programmers to perform data operations at row level with high performance, as the data is transformed as it passes through memory buffers."
"alarm","Anything related to the design and implementation of alarms. An alarm is a form of man-machine interaction where the attention of the user of an application or a system is attracted using an audible, a visual or some other kind of signal (or a combination thereof) in order to make the user aware that some event has happened."
"stdvector","A sequence type defined as part of the Standard Template Library."
"nsfilemanager","The NSFileManager class enables you to perform various generic file-system operations and insulates an application from the underlying file system."
"effects","Non functional enhancements of user interaction with a product (most commonly visual and sound )"
"docx","`.docx` is the file extension for files created using the default format of Microsoft Word 2007 or higher."
"multicast","Multicast refers to one-to-many network transmission options, where packets will be automatically propagated just to those nodes wishing to receive them. IP-based multicast is the common case, though other multicast implementations exist."
"utc","UTC stands for Coordinated Universal Time - it is the time standard by which the world regulates clocks and time."
"bluetooth-lowenergy","Bluetooth Low Energy (""BLE"") is a new radio standard, introduced in 2006.
Bluetooth Low Energy is also known as Bluetooth Smart and is a subset of Bluetooth v4.0."
"java-2d","Java 2D is an API for drawing two-dimensional graphics using the Java programming language."
"elements",""
"shadow","Questions related to drawing or setting shadows on an object."
"ubuntu-10.04","For issues relating to using Ubuntu, version 10.04 LTS."
"execution","Refers to the act of running a process.  "
"flexslider","FlexSlider is a fully responsive jQuery slider plugin."
"popupwindow","A window that appears ('pops up', hence the name) when you select an option with a mouse or press a designated function key. Usually, the pop-up window contains a menu of commands and stays on the screen only until you select one of the commands. It then disappears."
"cas","Central Authentication Service, a trusted system to authenticate a user"
"freeze","freeze in programming refers to a condition where in the concerned code or system becomes unresponsive. "
"android-4.2","Android 4.2(Jelly Bean) is the version of Android Operating System preceded by Android 4.1."
"cascade","Cascade refers to a table-definition keyword in relational databases; it instructs the query engine to take a certain action (delete, update), when a primary key is modified, on tables linked by a foreign key."
"loader","Adobe® Flash® ActionScript® 3.0  Loader class, used to load SWF files or image (JPG, PNG, or GIF) files"
"scrollviewer","A scroll viewer is a user interface construct that provides a scrolling area to any control(or hierarchy of controls) that is placed within it."
"frequency","The rate at which a thing occurs or is found."
"dhtml","Dynamic HTML, or DHTML, is an umbrella term for a collection of technologies used together to create interactive and animated web sites by using a combination of a static markup language (such as HTML), a client-side scripting language (such as JavaScript), a presentation definition language (such as CSS), and the Document Object Model."
"blender","Blender is the free open source 3D content creation suite, available for all major operating systems under the GNU General Public License. Also see the http://blender.stackexchange.com Stack Exchange site for more Blender-related questions."
"fpdf","A PHP class which allows developers to generate PDF files with pure PHP instead of the PDFlib library."
"webrequest","WebRequest is a abstract class in .NET Framework for making requests to URIs (including HTTP, HTTPS, FTP and FILE protocols)."
"cpan","CPAN is the Comprehensive Perl Archive Network, a code and documentation archive of over 100,000 Perl modules across more than 25,000 distributions written by more than 10,000 authors. This tag is not for general Perl questions; use [tag:perl] instead."
"mixins","A mixin is a way to enhance an object with properties or methods from another object without inheriting from that object."
"listactivity","A ListActivity is an Activity (main UI component of the Android System) that displays a list of items by binding to a data source such as an array or Cursor, and exposes event handlers when the user selects an item."
"ormlite","ORMLite is a Java open source software framework that provides lightweight object relational mapping (ORM) between Java classes and SQL databases. It supports JDBC databases as well as Android mobile platform."
"jit","Just-In-Time compilation (JIT) is a technique used to improve the performance of interpreted code by translating it to machine code."
"configure","A Configure script is an executable script designed to aid in developing a program to be run on a wide number of different computers."
"checksum","A checksum or hash sum is a fixed-size datum computed from an arbitrary block of digital data for the purpose of detecting accidental errors that may have been introduced during its transmission or storage. The integrity of the data can be checked at any later time by recomputing the checksum and comparing it with the stored one."
"multi-tenant","A principle in software architecture where a single instance of the software runs on a server, serving multiple client organizations (tenants)."
"openoffice.org","OpenOffice.org (OOo), a FOSS application suite made up of: Writer, Calc, Impress, Base, Draw, and Math. OOo can be programmed internally using macros and externally using the UNO component model."
"params",""
"fwrite","fwrite stands for file write. It is a function available with PHP, C, C++, etc. for writing the contents of string to the file stream pointed to by handle."
"wizard","A software wizard or setup assistant is a user interface type that presents a user with a sequence of dialog boxes that lead the user through a series of well-defined steps. Tasks that are complex, infrequently performed, or unfamiliar may be easier to perform using a wizard. In contrast, an expert system guides a user through a series of (usually yes/no) questions to solve a problem."
"database-performance","Questions about database performance and tuning, ranging from files organization and configuration to benchmarking and system optimization, passing through management systems and the fastest ways to operate a database."
"polymorphic-associations","Polymorphic association is a term used in discussions of Object-Relational Mapping with respect to the problem of representing in the relational database domain, a relationship from one class to multiple classes."
"synchronized","A block or method is said to be 'synchronized' if entry to it is controlled by the Java `synchronized` keyword. This causes access to it to be restricted to a single thread at a time: when concurrent accesses occur, they are sequentialized in an unspecified order."
"highlighting","make chosen words or phrases more visually prominent"
"public","`public` is an access-specifier in object-oriented languages; it indicates that all objects have access to the `public` field or method."
"facebook-comments","Facebook comments allow you to access the comments portion of Facebook pro-grammatically. "
"android-resources","Android resources - framework for providing different layouts or strings for android projects."
"lex","Lex is a computer program that generates lexical analyzers (""scanners"" or ""lexers""). Lex is commonly used with the yacc parser generator."
"ansi","American National Standards Institute (ANSI)"
"ifstream","ifstream provides an interface to read data from files as input streams."
"powershell-v3.0","For questions specific to version 3.0 of Windows PowerShell, which is included in Windows 8 and Windows Server 2012 and may be added to Windows 7 and Windows Server 2008 R2."
"publishing","releasing software to users. This may include releasing compiled binaries on a hardware medium, for download, or permitting access to a non-development web service."
"readfile",""
"windows-forms-designer","The Windows Forms Designer is a graphical editor for Windows Forms controls within Visual Studio."
"chromium","Chromium is the open source web browser project from which Google Chrome draws its source code."
"coded-ui-tests","Coded UI tests are automated User Interface tests that can be created with Visual Studio to test different kinds of user interface."
"setter","Setter is public mutator method, used in object-oriented programming, which gives new value to a private member of a class."
"piglatin","Pig Latin is a textual language used in Apache Pig's language layer."
"authlogic","Authlogic is a clean, simple, and unobtrusive ruby authentication solution."
"mysql-error-1064","The 1064 error indicates a syntax error in a query or in a command submitted to MySQL."
"elmah","ELMAH (Error Logging Modules and Handlers) is an application-wide error logging facility for ASP.NET that is completely pluggable. "
"ibatis","iBatis is an object-relational mapping framework for Java. It uses XML descriptors to bridge SQL queries and Java objects. "
"custom-attributes","In .NET Framework, custom attributes are user defined attributes which enable providing metadata for application elements such as assemblies, classes and methods."
"restful-authentication","Questions about authentication for RESTful services."
"32-bit","In computer architecture, 32-bit integers, memory addresses, or other data units are those that are at most 32 bits (4 octets) wide. Also, 32-bit CPU and ALU architectures are those that are based on registers, address buses, or data buses of that size. 32-bit is also a term given to a generation of computers in which 32-bit processors are the norm."
"dbi","The DBI is a database access module for the Perl programming language. It defines a set of methods, variables, and conventions that provide a consistent database interface, independent of the actual database being used."
"multiline","Text that spans more than one line is considered ""multiline"".  Concerns about wrapping, spacing, techniques and best practices."
"covariance","Covariance, contravariance and invariance describe how the existing type inheritance hierarchy changes when subjected to some transformation (such as usage within generics).

If the transformation keeps the ordering of the original hierarchy, it is ""covariant"".

If it reverses it, it is ""contravariant"".

If it breaks it, it is ""invariant""."
"large-files","Large files, whether binary or text, can sometimes be problematic even for a beginning programmer. This tag should be used if issues arise relating to opening and/or writing large files in a text editor, managing resources that run to gigabytes, or strategic decisions for large amounts of data."
"git-submodules","Submodules allow you to keep a Git repository as a subdirectory of another Git repository."
"knitr","knitr is an R package for dynamic report generation based on the concept of literate programming."
"unzip","Unzipping is uncompressing ZIP archives, the opposite of zipping."
"packet","A packet is one unit of binary data capable of being routed through a computer network."
"crystal-reports-2008","Refers to version 2008 of Crystal Reports (v12.*), a business-intelligence application used to design and generate reports. Crystal Reports came integrated with Visual Studio versions up to 2008."
"dojox","DojoX is a Dojo eXtended library of the Dojo Toolkit."
"sidebar","The sidebar tag is to be used for issues relating to displaying or rendering information to the side of an application."
"box-api","Questions about the API provided by Box, Inc. for their online storage service."
"itemscontrol","Represents a control that can be used to present a collection of items."
"simulink","Simulink® is an environment developed by The MathWorks for multidomain simulation and Model-Based Design for dynamic and embedded systems."
"magento-1.4","Magento is an Ecommerce platform written in PHP. It uses a configuration-based MVC system and heavily leverages Java style OOP patterns in the business logic, UI, and layout rendering application layers. This is a tag for Magento's 1.4.x.x version"
"saml","Security Assertion Markup Language"
"antlr3","Version 3 of ANTLR (ANother Tool for Language Recognition) created and written by Dr. Terrence Parr"
"google-cloud-storage","Google Cloud Storage is a RESTful service for storing and accessing your data on Google's infrastructure. The service combines the performance and scalability of Google's cloud with advanced security and sharing capabilities."
"silverlight-toolkit","Official Microsoft add-on components for Silverlight on the browser and Windows Phone released via Codeplex."
"uiinterfaceorientation","The orientation of the application's user interface in Apple OS."
"bioinformatics","The use of IT to store, retrieve, analyze biological data. It is mainly used to analyse nucleic acid and peptide sequences."
"unicorn","A unicorn is a magical weaponized HTTP server for Ruby."
"habtm","The has_and_belongs_to_many relationship, meaning both entities can have multiple occurrences of each other, for models (tables) in Ruby on Rails and other MVC frameworks."
"robotium","Robotium is a test framework that allows black-box test cases for native Android applications. Robotium supports testing without source code (when only apk file is available) and on rooted phones also supports pre-installed applications."
"round","Rounding a numerical value means replacing it by another value that is approximately equal but has a shorter, simpler, or more explicit representation"
"boto","boto:  Python interface to Amazon Web Services"
"image-gallery","An image gallery is set up to display multiple images. They can be basic or creative. Basic ones often have a grid layout with all of the images showing at once. More creative ones are often created using javascript and css3 and include animations and transitions."
"spring-integration","Spring Integration provides an extension of the Spring programming model to support the well-known Enterprise Integration Patterns."
"apache-httpclient-4.x","A Java HTTP client library. Supercedes the Commons HttpClient project."
"xmldocument","The original .NET type that represents an XML document. The more modern version is XDocument."
"dto","DTO is an acronym for Data Transfer Object, a design pattern used in data transfer."
"dump","Recording the contents of memory after application or operating system failure, or by operator request, in a core dump for use in subsequent problem analysis. Also, recording a file or medium as a backup."
"handle","Handle is an abstraction of a resource or a reference to an entity. It can have different implementations: a pointer, an index in a table etc."
"final","final is a common keyword specifying that the reference declared as final cannot be modified once it is initialized."
"long-polling","In web programming, long-polling is an emulation of pushing data, implemented by repeated polling with delayed response."
"children","Children is the set of all nodes within a hierarchical data structure which have a node above them."
"keyboard-events","An event that is triggered when a Key is pressed on a keyboard input device"
"repaint","Repaint refers to issues relating to re-rendering or redrawing user interface screens or portions of those screens."
"entity-framework-6","The ADO.NET Entity Framework Version 6."
"nsurl","NSURL is a class from Foundation.framework in Apple MacOS and iOS. The NSURL class provides the ability to manipulate URLs and the resources they refer to."
"tabbar","TabBar is a ActionScript UI component used for switching between different application states."
"iqueryable",".NET Framework Interface, providing functionality to evaluate queries against a specific data source wherein the type of the data is not specified."
"entitymanager","The EntityManager is the representation of a PersistenceContext, allowing a user to manipulate data pulled from a database."
"combinatorics","Deals with combinations of entities belonging to a finite set in accordance with certain constraints."
"conditional-statements","In computer science, conditional statements, conditional expressions and conditional constructs are features of a programming language which perform different computations or actions depending on whether a programmer-specified boolean condition evaluates to true or false. Apart from the case of branch prediction, this is always achieved by selectively altering the control flow based on some condition."
"exif","Exchangeable image file format is a standard for storing metadata in JPEG and TIFF files"
"ole","OLE Automation, is an inter-process communication mechanism based on Component Object Model (COM)."
"visual-sourcesafe","Old source code control solution from Microsoft. Superseded by Microsoft Team Foundation Server."
"wkhtmltopdf","A shell utility to convert HTML to PDF using the Webkit rendering engine and Qt."
"datalist","An ASP.NET control for rendering data in a list."
"setuptools","Setuptools builds on Python’s distutils to provide easier building, distribution, and installation of libraries and applications."
"libxml2","Software library for parsing XML documents."
"definition","A generic tag for topics providing definitions."
"scrum","is a simple framework for effective team collaboration on complex projects. It utilizes a small set of rules to create a minimal structure for teams to focus on hard challenges.

"
"sharing",""
"folders","""Folders"" is a plural of folder. A folder or directory is a virtual container within a digital filesystem, in which groups of computer files and other folders can be kept and organized."
"prompt","prompt is a command-line or graphical interface which presents the user with a line editor or modal dialog and suspends execution until input is returned"
"objective-c++","Objective-C++ is the combination of Objective-C with C++."
"multipartform-data","multipart/form-data is a content type used to send forms to web services, including file uploads."
"addeventlistener","a DOM event method that adds an event listener to a given DOM node"
"signature","Signature represents the parameter profile of a subprogram (function or procedure). It consists of number, type and order of its parameters."
"simplecursoradapter","A basic adapter to map columns from a cursor(of Database) to TextViews or ImageViews defined in an XML layout file. "
"repeat","""repeat"" refers to the action of doing something over again."
"aix","AIX (Advanced Interactive eXecutive, pronounced ""a i ex"") is a series of proprietary Unix operating systems developed and sold by IBM for several of its computer platforms."
"paste","The paste tag is to be used for issues relating to the paste portion of copy/paste operations."
"pseudocode","Pseudocode is a compact and informal high-level description of a computer programming algorithm. It represents the code and may look similar to the code or code constructs, but it isn't actual code. It is a representation of the code or code construct."
"nsnotificationcenter","NSNotificationCenter is an Observer Pattern in the Cocoa library provided by Apple."
"teradata","Teradata Database System is a massively parallel processing system running a shared nothing architecture."
"httpmodule","ASP.NET HTTP Modules are classes which implement the System.Web.IHttpModule interface."
"css-sprites","CSS Sprites is a CSS technique to combine small images into one big image and then access them using the background-position property. It is used to save HTTP requests. "
"thinking-sphinx","Thinking Sphinx is a Ruby library that connects ActiveRecord models to the Sphinx search service."
"flash-cs4","Flash CS4 Professional is a tool for creating Flash Applications. It is part of the Adobe Creative Suite 4. "
"crawler","Crawler or web crawler is a bot program that automatically walks through World Wide Web sites. Crawlers are important part of search engines."
"varnish","Varnish cache is a reverse http proxy that caches, i.e. a web accelerator. It is open source software used to speed up websites."
"google-glass","Google Glass is a Google project to create a commercially-viable, next-generation wearable smart device in the form of a pair of glasses featuring a head-mounted display. The product allows users to interact with the device via voice and allows other smartphone-like functionality. The Google Glass initiative also provides APIs for developers."
"django-haystack","Haystack is a modular search app for Django projects. It aims to provide a familiar API for django developers that does not depend on the backend used for searching."
"browser-history","Browser history refers to the list of web pages a user has visited recently—and associated data such as page title and time of visit—which is recorded by web browser software as standard for a certain period of time."
"exists","Exists is a keyword or function in many languages, especially in SQL.
"
"shared-hosting","Websites that are hosted on servers where many other peoples sites are hosted can have specific problems due to security concerns, lack of control of installed libraries, no root access etc.   "
"credit-card","is used for questions related to payment cards. Questions regarding security of payment card data may want to consider using the pci-dss tag."
"webmethod","WebMethod is an attribute that is marked to indicate that a function (usually in .NET) in a web service is exposed to the consumers of the web service."
"amazon-dynamodb","Amazon DynamoDB is Amazon's own NoSQL (key-value store) implementation which they offer as a cloud service under the umbrella of Amazon Web Services (AWS)"
"stata","Stata is a commercial general-purpose statistical software. Stata is available for Windows, Mac and Unix systems. Stata's capabilities include data management, statistical analysis and graphics."
"user-experience","the experiential, affective, meaningful and valuable aspects of human-computer interaction and product ownership, but also a person’s perceptions of the practical aspects such as utility, ease of use and efficiency of the system. Essentially, it's about how a person feels about using a product."
"android-source","Android source code. Question about building Android from the source, contributing to the Android project, Android kernel development and porting."
"public-key-encryption","An cryptographic scheme which uses two mathematically related keys; a public and a private key where a message encrypted with public key can only be decrypted with the private key and vice-versa."
"postgresql-9.2","for PostgreSQL questions specific to version 9.2."
"msdeploy","Microsoft command line tool for deploying, synchronizing and packaging web applications, content and configuration settings to IIS Web Servers."
"rtmp","The Real-Time Messaging Protocol (RTMP) is used for streaming multimedia content across a TCP/IP network."
"biginteger","BigInteger is an arbitrary-precision arithmetic type in Java, C#, and other languages. It behaves like a signed integer whose size is limited only by available memory.
"
"flex-lexer","Flex (fast lexical analyzer generator) is a free software that generates lexical analyzers (""scanners"" or ""lexers"")."
"flickr","Flickr image and media file hosting, with various public APIs for embedding images on external sites."
"autotools","Autotools is a suite of programming tools (mainly autoconf, automake, and libtool) designed to assist in making source-code packages portable to many Unix-like systems."
"boot","The boot phase broadly refers to the set of operations that a computer system performs between power-on and access to a graphical/textual shell."
"nsurlrequest","on iOS , NSURLRequest objects represent a URL load request in a manner independent of protocol and URL scheme.

NSURLRequest encapsulates two basic data elements of a load request: the URL to load, and the policy to use when consulting the URL content cache made available by the implementation.
"
"filereader","FileReader allows modern browsers to read local files using Javascript"
"static-linking","A static library or statically-linked library is a set of routines, external functions and variables which are resolved in a caller at compile-time and copied into a target application by a compiler, linker, or binder, producing an object file and a stand-alone executable. This executable and the process of compiling it are both known as a static build of the program."
"python-2.6","For issues that are specific to Python 2.6. If your question applies to Python in general, use the tag [python]."
"openjpa","OpenJPA is an open source implementation of the Java Persistence API specification. It is an object-relational mapping (ORM) solution for the Java language, which simplifies storing objects in databases. It is open source software distributed under the Apache 2.0 Licence."
"screen-resolution","The number of distinct pixels in each dimension that the screen can display, usually quoted as width × height with the units in pixels."
"var","var is a keyword in a number of programming languages."
"social",""
"android-listfragment","ListFragment is one of the specialized Fragment classes which has, by default, a ListView as its content view."
"kernel-module","A kernel module is a run-time loadable object file that is loaded into operating system kernel to add functionality to a running kernel. Examples include device drivers and other kernel items."
"production-environment","A production environment is one in that is exposed to its intended audience in a real-world situation."
"apply","In R this function returns a vector or array or list of values obtained by applying a function to margins or dimensions of an array or matrix. `apply` has advantages over explicit for loops in terms of code simplicity and speed. "
"uistoryboardsegue","UIStoryboardSegue is the Cocoa Touch class for segues used in storyboards in iOS 5.0 and later. Segues represent the relationship between two different scenes (i.e. view controllers) on a storyboard, generally used for facilitating the transition between two scenes."
"string-comparison","string-comparison is the action of comparing strings, resulting in a boolean or an integer indicating the ""distance"" between the strings."
"git-merge","Merges together two different branches of history by incorporating commits into the currently checked-out branch."
"spring-aop","Spring AOP is the Spring Framework's version of AOP, implemented in pure Java and using the @AspectJ annotations from the AspectJ project. Spring AOP works through dynamic JDK or CGLib Proxies."
"xsl-fo","XSL-FO (XSL Formatting Objects) is a markup language for XML document formatting which is most often used to generate printed content."
"rules","If the question is about the Drupal Rules module, use the ""drupal-rules"" tag."
"odp.net","Oracle Data Provider for .NET (ODP.NET) features optimized ADO.NET data access to the Oracle database."
"pie-chart","A pie chart is a circular representation of data divided into sections by the drawing of radii."
"auto","Keyword introduced in C++11 standard, which replaces type name in local variable declaration, when the type can be unambiguously deduced from the code."
"detect","Detect relates to discover or identifying the presence of."
"classcastexception","The Java exception thrown to indicate that the code has attempted to cast an object to a subclass of which it is not an instance."
"fabric","A Python library and command-line tool for streamlining the use of SSH for application deployment or systems administration tasks."
"keychain","A keychain is an encrypted container that holds passwords for multiple applications and secure services. Apple Inc. uses keychains as password management system in Mac OS and iOS."
"android-adapter","An Adapter object acts as a bridge between an AdapterView and the underlying data for that view. "
"event-log","An event log is a file used to record a timeline of events along with contextual metadata "
"wikipedia","Consider the tags wikipedia-api and mediawiki. Questions should be related to programming."
"dispatcher","In WPF and Silverlight, Dispatcher is an object that is used to execute work on a specific thread.

In another meaning, dispatcher defines an object that receives requests from the client and sends them to any resource (such as a servlet, HTML file, or JSP file) on the server. "
"vcl","This tag is used for questions regarding the Visual Component Library used in Borland/CodeGear/Embarcadero Delphi and C++Builder products."
"blackberry-simulator","Use BlackBerry device simulators to demonstrate and test how the BlackBerry device software, screen, keyboard and trackwheel will work with your application. These simulators will also simulate behavior in various wireless network conditions. Device simulators are great tools for testing, training and for use in presentations.

More information http://www.blackberry.com/developers/downloads/simulators/"
"irc","IRC - Stands for Internet Relay Chat is an internet based chat protocol.
Main idea is to have users connect to a server network, where they can then send messages to each other through channels or direct chat. 
Today there's quite a few different networks, usually each with a main thematic.
Stack Overflow got its own channel on the FreeNode network. You can read more about that on the full tag wiki page."
"static-members","A static member is a data field that is shared by all instances of a class or structure for the same program. Static member exists even when no objects of the static data member's class exist. A feature of C++, roughly equivalent to Java static fields."
"cart",""
"sparse-matrix","Questions relating to sparse matrix algorithms and data structures, along with questions about implementation and analyses."
"elastic-beanstalk","Elastic Beanstalk is a PAAS cloud service offered by Amazon Web Services."
"adsense","A program run by Google Inc. allows publishers in the Google Network of content sites to automatically serve text, image, video, and rich media adverts that are targeted to site content and audience."
"azure-storage-blobs","Azure Storage Blob helps in storing Binary Data (of any type and any format). Blobs are categories into Containers. There are two types of blob as Page Blob and Block Blob. There are security features also available which operate at Container level and Blob level as well."
"visio","Visio is a diagramming tool included in the Microsoft Office suite."
"friend","In object-oriented programming, friend refers to a method or class that has access to some non-public aspects of a particular class."
"indexoutofboundsexception","An exception that occurs when you attempt to access an object that is outside the boundaries of the container. Common containers are arrays or array-based objects. This is a language-independent tag."
"type-inference","Type inference is the process of inferring types for programs automatically, using rules defined by a type system."
"nlog","NLog is a free logging platform for .NET"
"volatile","Volatile is a qualifier used to define a data storage area (object, field, variable, parameter) that ""can change on its own"", thus disallowing some code generator optimizations.  In some but not all languages that recognize this qualifier the access to such data is thread safe."
"boost-thread","Boost.Thread enables the use of multiple threads of execution with shared data in portable C++ code."
"myisam","MyISAM is a non-transactional storage engine for MySQL. It provides high-speed storage and retrieval, as well as fulltext searching capabilities. Also, it is the default storage engine type for versions prior to 5.5."
"java-io","The java.io package provides blocking input and output through data streams, serialization, and the file system.
"
"adodb","ActiveX Data Objects, a Microsoft middleware for accessing data sources. Allows to access data from various languages without knowing how the database is implemented. Successor of RDO (Remote Data Objects) and DAO (Data Access Objects), first introduced in 1996."
"oracle-adf","Oracle ADF is an end-to-end Java EE framework that simplifies application development by providing out of the box infrastructure services and a visual and declarative development experience."
"knockout-mapping-plugin","Plugin for knockout.js that helps create and update a view model."
"nexus","Nexus is a Repository Manager for Maven, NuGet and other binary artifact repositories. Repository managers serve two purposes: they act as highly configurable proxies between your organization and the public repositories and they also provide an organization with a deployment destination for your internally generated artifacts."
"gsp","Groovy Server Pages (GSP) are groovy templates for rendering html in the ASP/ERB style."
"ear","An Enterprise Archive, or EAR, is a file format used by Java EE for packaging one or more modules into a single archive so that the deployment of the various modules onto an application server happens simultaneously and coherently."
"tapestry","Apache Tapestry is a Java web application framework that is organized around building pages from reusable components.

Tapestry is a component-based framework, attempting to structure web applications into small, manageable and re-useable parts. Components consist of a component class file and often a component template file; also, components can have their own JavaScript and CSS. Tapestry template files are XHTML files, so they can be edited in "
"ntlm","NTLM (NT LAN Manager) is a suite of Microsoft security protocols that provides authentication, integrity, and confidentiality to users."
"gamekit","GameKit is an Apple Framework that provides classes to create social games."
"passport","Passport is authentication middleware for Node.js. Extremely flexible and modular, Passport can be unobtrusively dropped in to any Connect/Express-based web application. A comprehensive set of strategies support authentication using a username and password, Facebook, Twitter, and more."
